city,city_to_output
абаза,Абаза
абакан,Абакан
абдулино,Абдулино
абинск,Абинск
агидель,Агидель
агрыз,Агрыз
адыгейск,Адыгейск
азнакаево,Азнакаево
азов,Азов
акдовурак,Ак-Довурак
аксай,Аксай
алагир,Алагир
алапаевск,Алапаевск
алатырь,Алатырь
алдан,Алдан
алейск,Алейск
александров,Александров
александровск,Александровск
александровсксахалинский,Александровск-Сахалинский
алексеевка,Алексеевка
алексин,Алексин
алзамай,Алзамай
алупка,Алупка
алушта,Алушта
альметьевск,Альметьевск
амурск,Амурск
анадырь,Анадырь
анапа,Анапа
ангарск,Ангарск
андреаполь,Андреаполь
анжеросудженск,Анжеро-Судженск
анива,Анива
апатиты,Апатиты
апрелевка,Апрелевка
апшеронск,Апшеронск
арамиль,Арамиль
аргун,Аргун
ардатов,Ардатов
ардон,Ардон
арзамас,Арзамас
аркадак,Аркадак
армавир,Армавир
армянск,Армянск
арсеньев,Арсеньев
арск,Арск
артем,Артём
артемовск,Артёмовск
артемовский,Артёмовский
архангельск,Архангельск
асбест,Асбест
асино,Асино
астрахань,Астрахань
аткарск,Аткарск
ахтубинск,Ахтубинск
ачинск,Ачинск
аша,Аша
бабаево,Бабаево
бабушкин,Бабушкин
бавлы,Бавлы
багратионовск,Багратионовск
байкальск,Байкальск
баймак,Баймак
бакал,Бакал
баксан,Баксан
балабаново,Балабаново
балаково,Балаково
балахна,Балахна
балашиха,Балашиха
балашов,Балашов
балей,Балей
балтийск,Балтийск
барабинск,Барабинск
барнаул,Барнаул
барыш,Барыш
батайск,Батайск
бахчисарай,Бахчисарай
бежецк,Бежецк
белаякалитва,Белая Калитва
белаяхолуница,Белая Холуница
белгород,Белгород
белебей,Белебей
белинский,Белинский
белово,Белово
белогорск,Белогорск
белогорск,Белогорск
белозерск,Белозерск
белокуриха,Белокуриха
беломорск,Беломорск
белорецк,Белорецк
белореченск,Белореченск
белоусово,Белоусово
белоярский,Белоярский
белый,Белый
белев,Белёв
бердск,Бердск
березники,Березники
березовский,Берёзовский
березовский,Берёзовский
беслан,Беслан
бийск,Бийск
бикин,Бикин
билибино,Билибино
биробиджан,Биробиджан
бирск,Бирск
бирюсинск,Бирюсинск
бирюч,Бирюч
благовещенск,Благовещенск
благодарный,Благодарный
бобров,Бобров
богданович,Богданович
богородицк,Богородицк
богородск,Богородск
боготол,Боготол
богучар,Богучар
бодайбо,Бодайбо
бокситогорск,Бокситогорск
болгар,Болгар
бологое,Бологое
болотное,Болотное
болохово,Болохово
болхов,Болхов
большойкамень,Большой Камень
бор,Бор
борзя,Борзя
борисоглебск,Борисоглебск
боровичи,Боровичи
боровск,Боровск
бородино,Бородино
братск,Братск
бронницы,Бронницы
брянск,Брянск
бугульма,Бугульма
бугуруслан,Бугуруслан
буденновск,Будённовск
бузулук,Бузулук
буинск,Буинск
буй,Буй
буйнакск,Буйнакск
бутурлиновка,Бутурлиновка
валдай,Валдай
валуйки,Валуйки
велиж,Велиж
великиелуки,Великие Луки
великийновгород,Великий Новгород
великийустюг,Великий Устюг
вельск,Вельск
венев,Венёв
верещагино,Верещагино
верея,Верея
верхнеуральск,Верхнеуральск
верхнийтагил,Верхний Тагил
верхнийуфалей,Верхний Уфалей
верхняяпышма,Верхняя Пышма
верхняясалда,Верхняя Салда
верхняятура,Верхняя Тура
верхотурье,Верхотурье
верхоянск,Верхоянск
весьегонск,Весьегонск
ветлуга,Ветлуга
видное,Видное
вилюйск,Вилюйск
вилючинск,Вилючинск
вихоревка,Вихоревка
вичуга,Вичуга
владивосток,Владивосток
владикавказ,Владикавказ
владимир,Владимир
волгоград,Волгоград
волгодонск,Волгодонск
волгореченск,Волгореченск
волжск,Волжск
волжский,Волжский
вологда,Вологда
володарск,Володарск
волоколамск,Волоколамск
волосово,Волосово
волхов,Волхов
волчанск,Волчанск
вольск,Вольск
воркута,Воркута
воронеж,Воронеж
ворсма,Ворсма
воскресенск,Воскресенск
воткинск,Воткинск
всеволожск,Всеволожск
вуктыл,Вуктыл
выборг,Выборг
выкса,Выкса
высоковск,Высоковск
высоцк,Высоцк
вытегра,Вытегра
вышнийволочек,Вышний Волочёк
вяземский,Вяземский
вязники,Вязники
вязьма,Вязьма
вятскиеполяны,Вятские Поляны
гавриловпосад,Гаврилов Посад
гавриловям,Гаврилов-Ям
гагарин,Гагарин
гаджиево,Гаджиево
гай,Гай
галич,Галич
гатчина,Гатчина
гвардейск,Гвардейск
гдов,Гдов
